Prontuário;Total Horas;Participação em projeto de pesquisa institucional;Participação em monitoria;Participação em cursos de formação ou treinamentos relacionados à área;Participação em curso de idioma estrangeiro;Participação em projeto de extensão organizados pela instituição;Visita técnica organizada pela instituição;Participação em congressos, simpósios e outros eventos científicos;Publicação de artigos em revistas indexadas na área de computação;Publicação de artigos em eventos científicos;Apresentação de artigo em eventos científicos;Participação em projetos escola-empresa/instituições;Certificação em produto ou tecnologia na área de computação;Participação em atividades culturais;Trabalho em atividades de inclusão social;Trabalho em atividades de responsabilidade ambiental;Participação em projeto de pesquisa institucional;Participação em Programa de Educação Tutorial;Participação em projeto de ensino na instituição;Participação em monitoria;Participação em cursos de formação ou treinamentos relacionados à área;Participação em curso de idioma estrangeiro;Participação em curso de extensão organizados pela instituição;Participação em projeto de extensão na instituição;Visita técnica organizada pela instituição;Disciplina isolada cursada em outro curso superior, não pertencentes à matriz curricular;Apresentação de curso de curta duração, palestra ou oficina;Participação na organização de eventos técnicos ou científicos;Participação em congressos, simpósios e outros eventos relacionados ao curso;Publicação de artigos em revistas indexadas na área de computação;Publicação de artigos em eventos científicos indexados;Apresentação de artigo em eventos científicos;Participação em competição externa representando a instituição;Participação em projetos escola-empresa/instituições;Certificação em produto ou tecnologia na área de computação;Certificação internacional de proficiência em língua estrangeria;Prêmios ou láureas por desempenho acadêmico, científico ou de extensão;Participação como integrante de atividades cultural;Trabalho em atividades de inclusão social;Trabalho em atividades de responsabilidade ambiental;Participação em órgãos e comissões de representação do IFSP;Direção de organização estudantil no âmbito do IFSP por um mandato
SC3000800317;12.0; ;2.0;10.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3006344317;22.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-1.0; ; ; ;8.0; ; ;15.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1503545317;8.0; ; ; ; ;8.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3002438317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1602110317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3005291317;25.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10.0;15.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1702432317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1401327317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3006280317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3000796317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1601601317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3004660317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3002446317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1502972317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1602152317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3006310317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1701207317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3000168317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3005607317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1602390317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3002829317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3003469317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1601652317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3006212317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1400380317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3001415317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3000699317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1500929317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC1600478317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3003493317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
SC3006336317;0.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
